23	1708	"nothing"
1708	3402	"chorus A"
3402	5045	"chorus A"
5045	6653	"chorus B"
6653	7073	"nothing"
7073	8721	"chorus A"
8721	10368	"nothing"
10368	12001	"chorus A"
12001	13581	"chorus B"
13581	13970	"nothing"
13970	15567	"nothing"
15567	17170	"nothing"
17170	18766	"nothing"
18766	20331	"chorus B"
20331	21896	"nothing"
21896	22705	"nothing"
22705	24259	"nothing"
24259	25816	"nothing"
25816	27346	"nothing"
27346	28910	"nothing"
28910	30504	"chorus A"
30504	32085	"chorus A"
32085	33623	"chorus B"
33623	34016	"nothing"
34016	35568	"chorus A"
35568	38059	"nothing"
